word_cn,word_en,semantic_hint,category
微调,Trim,professional studio,noun
颤音,Vibrato,professional studio,noun
宽度(立体声),Width,professional studio,noun
布拉姆音效(盗梦空间号角声),Braaam,cinematic dramatic serious,noun
结尾,Ending,cinematic dramatic serious,verb
填充音,Fill,cinematic dramatic serious,noun
Logo展示音,Logo,cinematic dramatic serious,noun
乐句,Phrase,cinematic dramatic serious,adjective
配乐,Score,cinematic dramatic serious,adjective
标题音效,Title,cinematic dramatic serious,adjective
合唱(诡异),Choir,dark horror serious,noun
教堂,Church,dark horror serious,noun
医院(废弃),Hospital,dark horror serious,noun
吓人,Scary,dark horror tense,adjective
愤怒,Angry,emotional mood,adjective
危险,Danger,emotional mood,adjective
压抑,Depressing,emotional mood,adjective
情绪化,Emotional,emotional mood,adjective
兴奋,Exciting,emotional mood,verb
未来感,Futuristic,emotional mood,noun
阴沉,Gloomy,emotional mood,adjective
历史感,Historical,emotional mood,noun
孤独,Lonely,emotional mood,adjective
忧郁,Melancholic,emotional mood,adjective
军事,Military,emotional mood,verb
神秘,Mysterious,emotional mood,adjective
悲伤,Sad,emotional mood,adjective
严肃,Serious,emotional mood,adjective
幽灵般,Spooky,emotional mood,adjective
悬疑,Suspenseful,emotional mood,adjective
威胁,Threatening,emotional mood,adjective
悲剧,Tragic,emotional mood,adjective
阻尼,Dampened,acoustic natural,noun
经过均衡处理,EQed,acoustic natural,adjective
滤波,Filtered,acoustic natural,verb
硬,Hard,acoustic natural,adjective
不和谐,Inharmonic,acoustic natural,adjective
响亮,Loud,acoustic natural,adjective
调制感,Modulated,acoustic natural,adjective
静音,Muted,acoustic natural,noun
隆隆作响,Rumbly,acoustic natural,noun
寂静,Silent,acoustic natural,adjective
高频,Treble,acoustic natural,noun
震动,Vibrating,acoustic natural,verb
电子水泡音,Bloop,glitchy digital fun,noun
咔嗒(鼠标,Click,glitchy digital fun,verb
滴答(钟表),Tick,glitchy digital fun,verb
嗒(钟表),Tock,glitchy digital fun,verb
呻吟(物体受压),Groan,harsh weird fun,adjective
刺耳刮擦声,Rasp,harsh weird fun,noun
吱吱声,Squeak,harsh weird fun,adjective
密集,Dense,texture quality,verb
回声,Echo,texture quality,noun
小浴室,Small,Bathroom close ceramic tile cold,noun
洗手间,Restroom,close tile metallic cold,noun
厨房,Kitchen,close metallic hard cold,noun
手术室,Surgical,Room close sterile metallic cold,noun
诊所,Clinic,close clinical sterile cold,noun
通风管道,Ventilation,Shaft close metallic industrial cold,noun
电梯内,Elevator,Interior close metallic confined cold,noun
锅炉房,Boiler,Room close metallic loud cold,noun
机房,Server,Room close metallic humming cold,noun
设备间,Equipment,Room close metallic industrial cold,noun
停车库,Parking,Garage close concrete echo cold,noun
隧道,Tunnel,close metallic echoing cold,noun
地下通道,Underpass,close concrete metallic cold,verb
不锈钢,Stainless,Steel close metallic bright cold,adjective
铁,Iron,close metallic hard cold,noun
花岗岩,Granite,close hard cold reflective stone,noun
反射,Reflective,close hard cold bright,adjective
梳状滤波,Comb,Filtering close metallic reflective cold,adjective
自动扶梯,Escalator,close metallic mechanical cold,verb
旋转门,Revolving,Door close metallic mechanical cold,verb
暖通空调,HVAC,close metallic humming cold,noun
井盖,Manhole,Cover close metallic cold industrial,noun
自动售货机,Vending,Machine close metallic humming cold,noun
ATM机,ATM,close metallic beeping cold,adjective
打印机,Printer,close metallic office cold,noun
复印机,Photocopier,close metallic office cold,adjective
碎纸机,Shredder,close metallic office cold,noun
打字机,Typewriter,close metallic clicking cold,noun
文件柜,Filing,Cabinet close metallic office cold,noun
礼拜堂,Chapel,distant stone reverb cold,noun
修道院,Monastery,distant stone reverb cold,adjective
寺庙,Temple,distant stone reverb cold,noun
清真寺,Mosque,distant dome reverb cold,noun
冰川洞穴,Glacier,Cavern distant frozen echo cold vast,noun
采石场,Quarry,distant vast stone echo cold,noun
城堡大厅,Castle,Hall distant vast stone reverb cold,noun
宫殿,Palace,distant vast marble reverb cold,noun
长廊,Long,Corridor distant stone echo cold,adjective
废弃工厂,Abandoned,Factory distant vast metallic echo cold,adjective
飞机库,Hangar,distant vast metallic echo cold,noun
体育馆,Stadium,distant vast echo cold hard concrete reflective,noun
竞技场,Arena,distant vast echo cold,noun
音乐厅,Concert,Hall distant vast reverb cold,noun
剧院,Theater,distant vast reverb cold,verb
歌剧院,Opera,House distant vast reverb cold,noun
延迟,Delay,distant echo cold,noun
回拍延迟,Slapback,Delay distant bright echo cold,verb
多重回声,Multiple,Echoes distant vast cold,verb
山脉,Mountains,distant vast cold echo,noun
悬崖,Cliff,distant vast cold echo,noun
录音棚,Recording,Booth close dry warm anechoic,noun
配音间,Voice,Over Booth close dry warm intimate,adjective
吸音室,Absorptive,Room close warm muffled,noun
控制室,Control,Room close dry warm,noun
原木小屋,Log,Cabin close warm soft cozy,noun
阁楼,Attic,close warm soft muffled,noun
衣柜,Closet,close warm muffled fabric,noun
储藏室,Storage,Room close warm muffled,noun
起居室,Living,Room close warm soft cozy,noun
书房,Study,close warm quiet soft,verb
图书馆,Library,close warm quiet soft,noun
咖啡馆,Cafe,close warm soft ambient,noun
地毯,Carpet,close warm soft muffled,noun
毛毯,Blanket,close warm soft muffled cozy,noun
被子,Duvet,close warm soft muffled cozy,noun
枕头,Pillow,close warm soft muffled cozy,adjective
沙发,Couch,close warm soft cushioned,noun
软垫,Cushion,close warm soft muffled,adjective
泡沫,Foam,close warm soft absorptive,noun
低语,Murmur,close intimate warm soft,adjective
无混响,No,Reverb close dry warm dead,noun
吸音,Absorbent,close warm muffled,adjective
隔离,Isolated,close warm dry quiet,adjective
无反射,Non,Reflective close warm absorptive,adjective
窗帘,Curtain,close warm soft muffled fabric,noun
帷幔,Drapes,close warm soft muffled heavy,noun
床垫,Mattress,close warm soft cozy,noun
地毯(块),Rug,close warm soft muffled,noun
挂毯,Tapestry,close warm soft muffled fabric,noun
湖底,Lake,Bottom distant muffled warm dark,noun
湿地,Wetland,distant muffled warm diffused,noun
沼泽地,Marsh,distant muffled warm murky,noun
热带雨林,Rainforest,distant warm absorbed dark,noun
树林,Woods,distant warm soft absorbed,noun
树冠下,Under,Canopy distant warm absorbed dark,noun
陵墓,Tomb,distant warm muffled dark,noun
剧场后台,Backstage,distant warm muffled fabric,noun
帐篷内,Inside,Tent distant warm soft muffled,noun
淤泥,Silt,distant muffled warm murky,noun
苔藓,Moss,distant warm soft absorbed,noun
植被,Vegetation,distant warm soft absorbed,noun
帆布,Canvas,distant warm soft muffled,noun
浸没,Submerged,distant muffled warm underwater,noun
沉浸,Immersed,distant muffled warm underwater,adjective
模糊,Blurred,distant muffled warm hazy,adjective
浑浊,Murky,distant muffled warm dark,noun
远方,Far,Away distant muffled warm,noun
隔墙,Through,Wall distant muffled warm,verb
吸收,Absorbed,distant warm soft,verb
衰减,Attenuated,distant muffled warm,noun
中型房间,Medium,Room moderate neutral,noun
办公室,Office,moderate neutral,noun
会议室,Conference,Room moderate neutral,noun
大厅,Lobby,moderate neutral,noun
接待处,Reception,moderate neutral,noun
酒店大堂,Hotel,Lobby moderate neutral,noun
购物中心,Shopping,Mall moderate neutral,noun
特写,Extreme,Close Up close perspective intimate,adjective
背景,Background,distant perspective ambient,noun
前景,Foreground,close perspective,noun
画外,Off,Screen distant perspective,adjective
主观视角,POV,close perspective intimate,noun
双耳录音,Binaural,close perspective spatial,noun
微型,Tiny,close small,adjective
大型,Large,distant,noun
巨型,Huge,distant vast,noun
封闭,Enclosed,close confined,noun
宽敞,Spacious,distant open,adjective
